      0.170624448710; 0;3;4;8;9
      0.170615261387; 0;1;3;7;8;9
      0.170612797371; 3;5;8;9
      0.170507530861; 0;1;3;5;7;8;9
      0.170440939709; 1;2;5;7;9
      0.170414538153; 0;1;5;7;8
      0.170281129952; 2;4;5;7;8
      0.170161090035; 0;1;3;5;7;9
      0.170154593626; 2;3;4;5;8
      0.170131976001; 0;1;6;7
      0.170101523047; 1;3;6;10
      0.170027021068; 3;4;5;9
      0.169906292222; 3;5;6;7;8;9
      0.169861857676; 1;2;4;9
      0.169844233632; 2;8
      0.169584063196; 0;2;3;4;7;9
      0.169540747762; 0;3;5;7;8
      0.169500528997; 0;2;3;4;7;8
      0.169369862549; 2;5;7;8
      0.169319716386; 0;3;6;7;8;9;10
      0.169293046240; 0;6;8;9
      0.169244097839; 0;2;4;5
      0.169232005520; 0;1;5;9
      0.169228765377; 2;5;6;9
      0.169207961726; 0;2;3;6;8
      0.169173902453; 2;7;10
      0.169102133466; 3;4;5;7
      0.168950046673; 0;1;5;6
      0.168912665229; 0;3;5;6;9
      0.168910018135; 1;2;3;8;9
      0.168904537515; 0;2;3;7;9;10
      0.168868746643; 0;3;4;6;8
      0.168857840252; 3;5
      0.168817077681; 0;2;5;7
      0.168813337326; 2;3;5;7;8;9
      0.168803470397; 0;3;4;5;7;9
      0.168791842628; 1;2;3;7
      0.168707044036; 2;7;9;10
      0.168698049811; 0;1;7;9;10
      0.168668219425; 1;3;7;9;10
      0.168648391126; 0;1;3;4;5
      0.168517817032; 0;1;2;3;5;6
      0.168489631571; 2;3;4;5;6;9
      0.168457707671; 0;2;4;6;7
      0.168435933760; 2;3;5;6;8;9
      0.168393372172; 1;3;5;7;8;9
      0.168361292174; 3;5;6;7;10
      0.168359258550; 0;1;4;5
      0.168331492653; 0;2;5;8;9
      0.168238247577; 0;1;3;6;7;10
      0.168229610727; 2;3;6;7;10
      0.167931329087; 0;1;2;7;8
      0.167831035363; 1;3;7;8;10
      0.167813264969; 2;3;4;6;7;9
      0.167809971785; 0;3;4;7;9;10
      0.167718999393; 0;3;4;5;7;8;9
      0.167675724503; 1;2;3;7;8;9
      0.167660420077; 0;2;3;5;7;9
      0.167599625209; 0;6;7;9;10
      0.167490814449; 0;1;2;3;4;5
      0.167489152880; 0;2;6;7;9
      0.167469648445; 1;2;4;7
      0.167432495936; 6;7;8;9;10
      0.167429381499; 0;2;3;6;8;9
      0.167415387973; 1;2;4;7;8;9
      0.167399416521; 1;6;7;9
      0.167359205690; 0;3;6;8;10
      0.167343385185; 0;6;7;8;9
      0.167309799456; 0;1;2;10
      0.167244809019; 0;1;3;4;9
      0.167223443400; 0;2;5;7;8
      0.167174947541; 0;1;4;7
      0.167156919215; 1;3;4;7
      0.167075908032; 0;2;4;7;8
      0.167054862427; 1;3;5;6
      0.167037661767; 0;1;2;3;7;9
      0.166995025589; 1;3;6;7;8;9
      0.166990926358; 0;1;3;6;10
      0.166986719406; 0;1;8;10
      0.166970947711; 2;7;8;9;10
      0.166920118927; 0;6;8
      0.166877874528; 0;2;4;7;9;10
      0.166855442309; 3;5;7;8;9;10
      0.166854881638; 3;5;7;10
      0.166835437308; 0;1;2;3;6;7
      0.166805449785; 2;3;5;8;9
      0.166764008605; 0;2;3;5;6;9
      0.166759622779; 2;3;4;7;9;10
      0.166679595195; 2;4;5;7;9
      0.166670082798; 0;2;4;5;7
      0.166641058827; 0;2;4;8;9
